"Card Name","Cost","Rarity","Effect 1","Effect 2","Effect 3","Description","Range Shape","Range Min","Range Max","Key","Class","Folder","Tags","Aim 1","Area 1","Aim 2","Area 2","Aim 3","Area 3","Keywords","No Reward","Rotatable","Animation","GUID","Sync","Notes"
"Rampart Totem","2","Uncommon","SummonRampartTotem","","","Summon a Rampart Totem.","Chebyshev","1","3","Rampart Totem","Cleric","Summon","","Tile","Single","","","","","","FALSE","FALSE","","ffeb8d4fdf2a22347bff2bd9386b9ad2","Live",""
"Sanctuary Totem","2","Uncommon","SummonSanctuaryTotem","","","Summon a Sanctuary Totem.","Chebyshev","1","3","Sanctuary Totem","Cleric","Summon","","Tile","Single","","","","","","FALSE","FALSE","","857b5633079b7f441b430a95dd0a2398","Live",""
"Tower Totem","2","Uncommon","SummonTowerTotem","","","Summon a Tower Totem.","Chebyshev","1","3","Tower Totem","Cleric","Summon","","Tile","Single","","","","","","FALSE","FALSE","","70e2ee5aa2fd4ba448e932a7ae09ed85","Live",""
"Warlord Totem","2","Uncommon","SummonWarlordTotem","","","Summon a Warlord Totem.","Chebyshev","1","3","Warlord Totem","Cleric","Summon","","Tile","Single","","","","","","FALSE","FALSE","","363d14991cd36564ca3dc5e550c81bc5","Live",""
"Wellhead Totem","2","Uncommon","SummonWellheadTotem","","","Summon a Wellhead Totem.","Chebyshev","1","3","Wellhead Totem","Cleric","Summon","","Tile","Single","","","","","","FALSE","FALSE","","a64ccfc5863ffd94c895f94fef7b38b2","Live",""
"Wellspring Totem","2","Uncommon","SummonWellspringTotem","","","Summon a Wellspring Totem.","Chebyshev","1","3","Wellspring Totem","Cleric","Summon","","Tile","Single","","","","","","FALSE","FALSE","","6f82a9f8e2605c94a9a47f945999e665","Live",""
"Aegis Totem","3","Rare","SummonAegisTotem","","","Summon a Aegis Totem.","Chebyshev","1","3","Aegis Totem","Cleric","Summon","","Tile","Single","","","","","","FALSE","FALSE","","01e630d4f30206f499a5038a0e474c92","Live",""
"Reinforce Totem","3","Rare","SummonReinforceTotem","","","Summon a Reinforce Totem.","Chebyshev","1","3","Reinforce Totem","Cleric","Summon","","Tile","Single","","","","","","FALSE","FALSE","","c7f19fb3cbfb9a248ad705b8c085d11b","Live",""
"Sentinel Totem","3","Uncommon","SummonSentinelTotem","","","Summon a Sentinel Totem.","Chebyshev","1","3","Sentinel Totem","Cleric","Summon","","Tile","Single","","","","","","FALSE","FALSE","","6f8d325e11962dd419a639a3bb29700e","Live",""
"Summon Skeleton","3","Rare","SummonSkeletonAlly","","","Summon a Skeleton.","Chebyshev","1","3","SummonSkeleton","Cleric","Summon","Summon","Tile","Single","","","","","","FALSE","FALSE","","c5d25d3eaabd87644b8f9bf160b035f4","Live",""
"Warcry Totem","3","Rare","SummonWarcryTotem","","","Summon a Warcry Totem.","Chebyshev","1","3","Warcry Totem","Cleric","Summon","","Tile","Single","","","","","","FALSE","FALSE","","51382dd5fb68f1c42b8c120d2112eb72","Live",""
