"Name","Class","Kind","Amount","Detail","Scoreable","Used By","Path","GUID"
"Damage 3","DamageEffect","Damage","3","","Yes","11","Assets/Data/EffectData/Damage/Damage 3.asset","2b3919664f29705438c0b427d91e208c"
"Damage 4","DamageEffect","Damage","4","","Yes","10","Assets/Data/EffectData/Damage/Damage 4.asset","abee4d4f63fb20347a76a5c8221892f2"
"Damage 5","DamageEffect","Damage","5","","Yes","11","Assets/Data/EffectData/Damage/Damage 5.asset","a1c05e11d2f34b0a9e5c17d40b1e5001"
"Damage 6","DamageEffect","Damage","6","","Yes","5","Assets/Data/EffectData/Damage/Damage 6.asset","5dd8e966162d47a4b990f67e30ce6ae2"
"Damage 7","DamageEffect","Damage","7","","Yes","2","Assets/Data/EffectData/Damage/Damage 7.asset","5e680a6c51d3ffd428265490d6a1e1d8"
"Damage 8","DamageEffect","Damage","8","","Yes","1","Assets/Data/EffectData/Damage/Damage 8.asset","ecb84d8108edde84f8eef282d5a80b23"
"Damage 9","DamageEffect","Damage","9","","Yes","3","Assets/Data/EffectData/Damage/Damage 9.asset","a1c05e11d2f34b0a9e5c17d40b1e5002"
"Draw 1","DrawEffect","Draw","1","","Yes","3","Assets/Data/EffectData/Draw/Draw 1.asset","a1c05e11d2f34b0a9e5c17d40b1e5005"
"Heal 10","HealEffect","Heal","10","","Yes","1","Assets/Data/EffectData/Heal/Heal 10.asset","745a5e7dbc474ea44bacba8f994db823"
"Heal 3","HealEffect","Heal","3","","Yes","2","Assets/Data/EffectData/Heal/Heal 3.asset","a48f91b26ba42bb429c21cc6cbe3d595"
"Heal 5","HealEffect","Heal","5","","Yes","3","Assets/Data/EffectData/Heal/Heal 5.asset","0e351cc79beb5e447b515b7584ae9b39"
"Heal 9","HealEffect","Heal","9","","Yes","0","Assets/Data/EffectData/Heal/Heal 9.asset","a1c05e11d2f34b0a9e5c17d40b1e5006"
"Move","MoveEffect","Move","1","","Yes","3","Assets/Data/EffectData/Move.asset","d537771370c9446baed97512da971480"
"Parry 1","ParryEffect","Parry","1","","Yes","2","Assets/Data/EffectData/Status/Parry 1.asset","8dec97316b8344c796239e2f86af1374"
"Shield 10","ShieldEffect","Shield","10","","Yes","4","Assets/Data/EffectData/Shield/Shield 10.asset","dae4490a1d0b1894482f41e08603a61c"
"Shield 3","ShieldEffect","Shield","3","","Yes","0","Assets/Data/EffectData/Shield/Shield 3.asset","a1c05e11d2f34b0a9e5c17d40b1e5004"
"Shield 5","ShieldEffect","Shield","5","","Yes","4","Assets/Data/EffectData/Shield/Shield 5.asset","a1c05e11d2f34b0a9e5c17d40b1e5003"
"Shield 7","ShieldEffect","Shield","7","","Yes","3","Assets/Data/EffectData/Shield/Shield 7.asset","fb89cb613dac65a48827a7977d393398"
"SummonAegisTotem","SummonEffect","Summon","1","12716135eb9ba744486bb34cd3b576d2","No","1","Assets/Data/EffectData/Summon/SummonAegisTotem.asset","a8621744cbb9c6d47b2aebdc574e5b63"
"SummonBastionTotem","SummonEffect","Summon","1","59df727e2f4fec149bbff1700643786f","No","1","Assets/Data/EffectData/Summon/SummonBastionTotem.asset","ad920d8b007cd6f4b8e8aa9f2ceb7c6c"
"SummonBatMinion","SummonEffect","Summon","1","51cc0c0b40e7b264ebdf1dc4594559a6","No","1","Assets/Data/EffectData/Summon/SummonBatMinion.asset","78bcfc8f964d598488b7ad9526adb34e"
"SummonBulwarkTotem","SummonEffect","Summon","1","244f38522011b184a9ac6fa1011c3518","No","1","Assets/Data/EffectData/Summon/SummonBulwarkTotem.asset","0861a0d7b70789242b177197be7a4c66"
"SummonCurseTotem","SummonEffect","Summon","1","89892b485e7ba8f47a381450a50e8939","No","1","Assets/Data/EffectData/Summon/SummonCurseTotem.asset","048327218bf831e48bb0196131da39ae"
"SummonEnfeebleTotem","SummonEffect","Summon","1","014f64ac45bd4dc4b98a719851444ae1","No","1","Assets/Data/EffectData/Summon/SummonEnfeebleTotem.asset","5b0e95da61f5b2d44b11e15dc7f2aab2"
"SummonFractureTotem","SummonEffect","Summon","1","5854e1bde56839843922d6c922d39f6b","No","1","Assets/Data/EffectData/Summon/SummonFractureTotem.asset","4bb83b63ae1f8284caf9c716b5bfab77"
"SummonGoblinMinion","SummonEffect","Summon","1","fe7fe8169a3ae3f4ab1463af48263a1a","No","1","Assets/Data/EffectData/Summon/SummonGoblinMinion.asset","d2522362b705ee04793e9e272f86db85"
"SummonHeavyBanditMinion","SummonEffect","Summon","1","abb6f217c283d344999e3f27fa36640f","No","1","Assets/Data/EffectData/Summon/SummonHeavyBanditMinion.asset","8722fc7be9f06e049899fd25e745386e"
"SummonHexTotem","SummonEffect","Summon","1","e5dee8c4021219948baab3804a4e5f0a","No","1","Assets/Data/EffectData/Summon/SummonHexTotem.asset","b336238d627240e46aa8de19df97a692"
"SummonLightBanditMinion","SummonEffect","Summon","1","df52b2ab92f38fd4eb6d6064e8197a56","No","1","Assets/Data/EffectData/Summon/SummonLightBanditMinion.asset","3a9b81416405e0f49bfa1c146890eb43"
"SummonPebbleMinion","SummonEffect","Summon","1","cffb630e9ce4c0f4798ae3e294d1d8e8","No","1","Assets/Data/EffectData/Summon/SummonPebbleMinion.asset","781f12626b344ba4e835182856d1fc4d"
"SummonRampartTotem","SummonEffect","Summon","1","a5bfbda97f1f02142b9b515530161fea","No","1","Assets/Data/EffectData/Summon/SummonRampartTotem.asset","53dd2ae0532c44d408d8037e25d56795"
"SummonRuinTotem","SummonEffect","Summon","1","e61b0150c0ffdae419d59d0aee350345","No","1","Assets/Data/EffectData/Summon/SummonRuinTotem.asset","4af6803836ba7a94ca6361d496d2046b"
"SummonSapTotem","SummonEffect","Summon","1","77ec68d5e840a8041a9d3725787d10bc","No","1","Assets/Data/EffectData/Summon/SummonSapTotem.asset","5d0a5572b291a164aaab4b316700e849"
"SummonSkeletonAlly","SummonEffect","Summon","1","eaade4b777fd45447af03588cf3692e5","No","1","Assets/Data/EffectData/Summon/SummonSkeletonAlly.asset","545e2b9ae6b7b18478dbae2045f523c0"
"SummonSkeletonMinion","SummonEffect","Summon","1","909b3cba860296d47997ee7846ec93f8","No","2","Assets/Data/EffectData/Summon/SummonSkeletonMinion.asset","12c0a43a239292048873e9a2e6e075d8"
"SummonSkeletonWarrior","SummonEffect","Summon","1","d1b7793de9d268945bdf70cf0af39a94","No","1","Assets/Data/EffectData/Summon/SummonSkeletonWarrior.asset","135d0d26bd99e5048a638aa4fb759c76"
"SummonSlimeMinion","SummonEffect","Summon","1","7902e6bd6fe8b444eab36cf00a8771be","No","1","Assets/Data/EffectData/Summon/SummonSlimeMinion.asset","d5b4840db7093694dabf8b87898cc2c5"
"SummonTotem","SummonEffect","Summon","1","aaaa1116bbbb2227cccc3338dddd4449","No","1","Assets/Data/EffectData/Summon/SummonTotem.asset","aaaa1117bbbb2228cccc3339dddd444a"
"SummonTutorialSkeleton","SummonEffect","Summon","1","2ec0362d5caa8014f82693349e6a7410","No","1","Assets/Data/EffectData/Summon/SummonTutorialSkeleton.asset","5340e1715849b014da9326e626c3f37a"
"SummonVenomTotem","SummonEffect","Summon","1","26adeaa60cdf0c148a1a8312f7ef7135","No","1","Assets/Data/EffectData/Summon/SummonVenomTotem.asset","129c00adec80a624cb64cb9b8d662c94"
"SummonWarcryTotem","SummonEffect","Summon","1","793cbbc1c16b78446a26ca733466b200","No","1","Assets/Data/EffectData/Summon/SummonWarcryTotem.asset","e6d657e3c566b514ba079d54a49b81fa"
"SummonWarlordTotem","SummonEffect","Summon","1","c84cb1be61cb8d34b87a46ddb87dba7d","No","1","Assets/Data/EffectData/Summon/SummonWarlordTotem.asset","a646812e46614d747b7582ca00140156"
"SummonWeakenTotem","SummonEffect","Summon","1","08f660fa479a3f04396e626effaf1226","No","1","Assets/Data/EffectData/Summon/SummonWeakenTotem.asset","c127bcc2647c0564485c6c0868773cc4"
"Taunt","TauntEffect","Taunt","2","","No","1","Assets/Data/EffectData/Status/Taunt.asset","7d286e3e54b5ca940b330c157d137531"
"Cone3","EffectPattern","Pattern","5","5x3 grid, 5 painted","n/a","0","Assets/Data/EffectData/Patterns/Cone3.asset","df31fd0783da2c642bc5ee38e3754ecc"
"Wall3","EffectPattern","Pattern","3","3x1 grid, 3 painted","n/a","0","Assets/Data/EffectData/Patterns/Wall3.asset","8f79c6a0cdb32114494d00fc261c76fd"
"X-Pattern","EffectPattern","Pattern","8","5x5 grid, 8 painted","n/a","0","Assets/Data/EffectData/Patterns/X-Pattern.asset","f9590943e326bbd449fee5d0524498a6"
