"Key","Card Name","Class","Cost","Rarity","Source","Enemy Tiles","Ally Tiles","Damage","Heal","Shield","Block Total","Parry","Poison Total","Strength","Weaken","Draw","Move","Combo","Summons","Control","Quantifiable","Power","Power/Energy","Expected","Delta","Flag","Issues","Pw Common","Pw Uncommon","Pw Rare","Pw Legendary","Eff Knight","Eff Mage","Eff Rogue","Exp Plot","Pw Idea","Eff Cleric"
"Ghoststep Totem","Ghoststep Totem","Rogue","2","Uncommon","Rogue","1","1","0","0","0","0","0","0","0","0","0","0","0","GhoststepTotem [Chebyshev 0-2]: TurnTick 1 aura","TurnTick aura","No",,,,,,"",,,,,,,,,,
"Leech Totem","Leech Totem","Rogue","2","Uncommon","Rogue","1","1","0","0","0","0","0","0","0","0","0","0","0","LeechTotem [Chebyshev 0-2]: Lifesteal 1 aura","Lifesteal aura","No",,,,,,"",,,,,,,,,,
"Spike Totem","Spike Totem","Rogue","2","Uncommon","Rogue","1","1","6","0","0","0","0","0","0","0","0","0","0","SpikeTotem [Chebyshev 0-2]: Damage 2 on trigger","","Partial",,,,,,"",,,,,,,,,,
"Venom Totem","Venom Totem","Rogue","2","Rare","Rogue","1","1","0","0","0","0","0","0","0","0","0","0","0","VenomTotem [Chebyshev 0-2]: TurnTick 1 aura","TurnTick aura","No",,,,,,"",,,,,,,,,,
"Venomblade Totem","Venomblade Totem","Rogue","2","Uncommon","Rogue","1","1","0","0","0","0","0","0","0","0","0","0","0","VenombladeTotem [Chebyshev 0-2]: PoisonBlade 1 aura","PoisonBlade aura","No",,,,,,"",,,,,,,,,,
"Rot Totem","Rot Totem","Rogue","3","Rare","Rogue","1","1","0","0","0","0","0","0","0","0","0","0","0","RotTotem [Chebyshev 0-2]: TurnTick 1 aura","TurnTick aura","No",,,,,,"",,,,,,,,,,
"Veil Totem","Veil Totem","Rogue","3","Uncommon","Rogue","1","1","0","0","0","0","0","0","0","0","0","0","0","VeilTotem [Chebyshev 0-2]: Stealth 1 aura","Stealth aura","No",,,,,,"",,,,,,,,,,
"Blade Ward","Blade Ward","Cleric","1","Uncommon","Cleric","1","1","0","0","0","10","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Vengeful Vigor","Vengeful Vigor","Cleric","1","Uncommon","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","","Lifesteal","No",,,,,,"",,,,,,,,,,
"Purge","Purge","Cleric","1","Common","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","","","No",,,,,,"",,,,,,,,,,
"Cleansing Light","Cleansing Light","Cleric","1","Common","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","","","No",,,,,,"",,,,,,,,,,
"Cure Wounds","Touch Heal","Cleric","1","Common","Cleric","1","1","0","10","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Heal Word","Heal Word","Cleric","1","Common","Cleric","1","1","0","5","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Renew","Renew","Cleric","1","Common","Cleric","1","1","0","3","0","0","0","0","0","0","1","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Smite","Smite","Cleric","1","Common","Cleric","1","1","4","3","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Mend and Fortify","Mend and Fortify","Cleric","2","Uncommon","Cleric","1","1","0","5","0","0","0","0","3","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Mend and Guard","Mend and Guard","Cleric","2","Uncommon","Cleric","1","1","0","5","0","10","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Renewing Touch","Renewing Touch","Cleric","2","Uncommon","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","","Regeneration","No",,,,,,"",,,,,,,,,,
"Beacon Totem","Beacon Totem","Cleric","1","Uncommon","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","BeaconTotem [Chebyshev 0-2]: Taunt 1 aura","Taunt aura","No",,,,,,"",,,,,,,,,,
"Bastion Totem","Bastion Totem","Cleric","2","Uncommon","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","BastionTotem [Chebyshev 0-2]: TurnTick 1 aura","TurnTick aura","No",,,,,,"",,,,,,,,,,
"Bloodpact Totem","Bloodpact Totem","Cleric","2","Uncommon","Cleric","1","1","0","9","0","0","0","0","0","0","0","0","0","BloodpactTotem [Chebyshev 0-2]: Heal 3 on trigger","","Partial",,,,,,"",,,,,,,,,,
"Bloom Totem","Bloom Totem","Cleric","2","Uncommon","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","BloomTotem [Chebyshev 0-2]: GainMultiplier 1 aura","GainMultiplier aura","No",,,,,,"",,,,,,,,,,
"Bulwark Totem","Bulwark Totem","Cleric","2","Uncommon","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","BulwarkTotem [Chebyshev 0-2]: GainMultiplier 1 aura","GainMultiplier aura","No",,,,,,"",,,,,,,,,,
"Echo Totem","Echo Totem","Cleric","2","Uncommon","Cleric","1","1","0","0","15","0","0","0","0","0","0","0","0","EchoTotem [Chebyshev 0-2]: Shield 5 on trigger","","Partial",,,,,,"",,,,,,,,,,
"Heal Totem","Heal Totem","Cleric","2","Uncommon","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","HealTotem [Chebyshev 0-2]: Regeneration 5 aura","Regeneration aura","No",,,,,,"",,,,,,,,,,
"Rampart Totem","Rampart Totem","Cleric","2","Uncommon","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","RampartTotem [Chebyshev 0-2]: Unknown(23) 1 aura","Unknown(23) aura","No",,,,,,"",,,,,,,,,,
"Sanctuary Totem","Sanctuary Totem","Cleric","2","Uncommon","Cleric","1","1","0","0","0","0","0","0","0","0","3","0","0","SanctuaryTotem [Chebyshev 0-2]: Draw 1 on trigger","","Partial",,,,,,"",,,,,,,,,,
"Tower Totem","Tower Totem","Cleric","2","Uncommon","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","TowerTotem [Chebyshev 0-2]: Unknown(24) 1 aura","Unknown(24) aura","No",,,,,,"",,,,,,,,,,
"Warlord Totem","Warlord Totem","Cleric","2","Uncommon","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","WarlordTotem [Chebyshev 0-2]: Potency 1 aura","Potency aura","No",,,,,,"",,,,,,,,,,
"Wellhead Totem","Wellhead Totem","Cleric","2","Uncommon","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","WellheadTotem [Chebyshev 0-2]: GainMultiplier 1 aura","GainMultiplier aura","No",,,,,,"",,,,,,,,,,
"Wellspring Totem","Wellspring Totem","Cleric","2","Uncommon","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","WellspringTotem [Chebyshev 0-2]: TurnTick 1 aura","TurnTick aura","No",,,,,,"",,,,,,,,,,
"Aegis Totem","Aegis Totem","Cleric","3","Rare","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","AegisTotem [Chebyshev 0-2]: Potency 1 aura","Potency aura","No",,,,,,"",,,,,,,,,,
"Reinforce Totem","Reinforce Totem","Cleric","3","Rare","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","ReinforceTotem [Chebyshev 0-1]: DoubleShield 1 aura","DoubleShield aura","No",,,,,,"",,,,,,,,,,
"Sentinel Totem","Sentinel Totem","Cleric","3","Uncommon","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","SentinelTotem [Chebyshev 0-2]: Taunt 1 aura","Taunt aura","No",,,,,,"",,,,,,,,,,
"SummonSkeleton","Summon Skeleton","Cleric","3","Rare","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","Summon","Summon","No",,,,,,"",,,,,,,,,,
"Warcry Totem","Warcry Totem","Cleric","3","Rare","Cleric","1","1","0","0","0","0","0","0","0","0","0","0","0","WarcryTotem [Chebyshev 0-2]: GainMultiplier 1 aura","GainMultiplier aura","No",,,,,,"",,,,,,,,,,
"SummonSkeletonWarrior","Summon Skeleton Warrior","Any","0","NotOffered","Neutral","1","1","0","0","0","0","0","0","0","0","0","0","0","Summon","Summon","No",,,,,,"",,,,,,,,,,
"EnemyArrow","EnemyArrow","Any","1","NotOffered","Neutral","1","1","5","0","0","0","0","0","0","0","0","0","0","","Vulnerable","Yes",,,,,,"",,,,,,,,,,
"EnemySlash","","Any","1","NotOffered","Neutral","1","1","8","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"blank card name",,,,,,,,,,
"Move","Move 1","Any","1","Common","Neutral","1","1","0","0","0","0","0","0","0","0","0","1","0","","","Yes",,,,,,"",,,,,,,,,,
"MoveInnate","Move 1","Any","1","NotOffered","Neutral","1","1","0","0","0","0","0","0","0","0","0","1","0","","","Yes",,,,,,"",,,,,,,,,,
"MoveInnate2","Move 2","Any","1","NotOffered","Neutral","1","1","0","0","0","0","0","0","0","0","0","1","0","","","Yes",,,,,,"",,,,,,,,,,
"TeleportInnate","Teleport","Any","1","NotOffered","Neutral","1","1","0","0","0","0","0","0","0","0","0","1","0","","","Yes",,,,,,"",,,,,,,,,,
"Bite","Bite","Any","1","NotOffered","Neutral","1","1","5","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"CallTheDamned","Call the Damned","Any","0","NotOffered","Neutral","1","1","0","0","0","0","0","0","0","0","0","0","0","Summon","Summon","No",,,,,,"",,,,,,,,,,
"BlackGuard","Black Guard","Any","1","NotOffered","Neutral","1","1","5","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"DreadCleave","Dread Cleave","Any","1","NotOffered","Neutral","9","1","8","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ClawAttack","Claw Attack","Any","1","NotOffered","Neutral","1","1","4","0","4","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"RoyalCommand","Royal Command","Any","0","NotOffered","Neutral","1","1","0","0","0","0","0","0","0","0","0","0","0","Summon","Summon","No",,,,,,"",,,,,,,,,,
"ExecutionersBlow","Executioner's Blow","Any","1","NotOffered","Neutral","1","1","4","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"RoyalGuard","Royal Guard","Any","1","NotOffered","Neutral","9","1","3","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Rally","Rally","Any","0","NotOffered","Neutral","1","3","0","0","0","0","0","0","0","0","0","0","0","Summon","Summon","No",,,,,,"",,,,,,,,,,
"Riposte","Riposte","Any","1","NotOffered","Neutral","1","1","6","0","0","0","1","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ShieldBash","Shield Bash","Any","1","NotOffered","Neutral","1","1","4","0","10","10","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"SummonImp","Summon Imp","Any","0","NotOffered","Neutral","1","1","0","0","0","0","0","0","0","0","0","0","0","Summon","Summon","No",,,,,,"",,,,,,,,,,
"DarkBolt","Dark Bolt","Any","1","NotOffered","Neutral","9","1","5","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ShadowWard","Shadow Ward","Any","1","NotOffered","Neutral","1","1","3","0","7","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"CallTheSwarm","Call the Swarm","Any","0","NotOffered","Neutral","1","1","0","0","0","0","0","0","0","0","0","0","0","Summon","Summon","No",,,,,,"",,,,,,,,,,
"ArcaneLance","Arcane Lance","Any","1","NotOffered","Neutral","1","1","6","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"VoidBarrier","Void Barrier","Any","1","NotOffered","Neutral","1","1","3","0","0","0","0","0","0","1","0","0","0","","Vulnerable","Yes",,,,,,"",,,,,,,,,,
"ConjureOoze","Conjure Ooze","Any","0","NotOffered","Neutral","1","1","0","0","0","0","0","0","0","0","0","0","0","Summon","Summon","No",,,,,,"",,,,,,,,,,
"EmberShroud","Ember Shroud","Any","1","NotOffered","Neutral","1","1","4","0","7","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"MeteorFall","Meteor Fall","Any","1","NotOffered","Neutral","1","1","12","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"WitheringGaze","Withering Gaze","Any","1","NotOffered","Neutral","1","1","3","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Backstab","Backstab","Any","1","NotOffered","Neutral","1","1","5","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"BoulderSmash","Boulder Smash","Any","1","NotOffered","Neutral","1","1","5","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"SummonPebble","Summon Pebble","Any","1","NotOffered","Neutral","1","1","0","0","0","0","0","0","0","0","0","0","0","Summon","Summon","No",,,,,,"",,,,,,,,,,
"HeavySwing","Heavy Swing","Any","1","NotOffered","Neutral","1","1","6","0","5","10","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"QuickCut","Quick Cut","Any","1","NotOffered","Neutral","9","1","1","0","0","0","0","0","0","1","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"VenomCut","Venom Cut","Any","1","NotOffered","Neutral","9","1","1","0","0","0","0","6","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Chomp","Chomp","Any","1","NotOffered","Neutral","1","1","7","0","0","0","0","0","0","0","0","0","0","","Rooted","Partial",,,,,,"",,,,,,,,,,
"SporeCloud","Spore Cloud","Any","1","NotOffered","Neutral","9","1","0","0","0","0","0","6","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Roll","Roll","Any","1","NotOffered","Neutral","1","1","2","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"PlagueBite","Plague Bite","Any","1","NotOffered","Neutral","1","1","2","0","0","0","0","6","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Gnaw","Gnaw","Any","1","NotOffered","Neutral","1","1","4","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"RaiseDead","Raise Dead","Any","0","NotOffered","Neutral","1","1","0","0","0","0","0","0","0","0","0","0","0","Summon","Summon","No",,,,,,"",,,,,,,,,,
"DeathsToll","Death's Toll","Any","1","NotOffered","Neutral","9","1","4","0","0","0","0","0","0","0","0","0","0","","Vulnerable","Yes",,,,,,"",,,,,,,,,,
"GraveTithe","Grave Tithe","Any","1","NotOffered","Neutral","1","1","2","0","0","0","0","0","0","0","0","0","0","","Unknown(29)","Yes",,,,,,"",,,,,,,,,,
"SoulDrain","Soul Drain","Any","1","NotOffered","Neutral","1","1","2","0","0","0","0","0","0","0","0","0","0","","Unknown(30)","Yes",,,,,,"",,,,,,,,,,
"SoulReap","Soul Reap","Any","1","NotOffered","Neutral","1","1","2","0","0","0","0","0","0","1","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"SoulSwap","Soul Swap","Any","1","NotOffered","Neutral","1","1","0","0","0","0","0","0","0","0","0","0","0","","Swap","No",,,,,,"",,,,,,,,,,
"SplinterOff","Splinter Off","Any","0","NotOffered","Neutral","1","1","0","0","0","0","0","0","0","0","0","0","0","Summon","Summon","No",,,,,,"",,,,,,,,,,
