"Card Name","Cost","Rarity","Effect 1","Effect 2","Effect 3","Description","Range Shape","Range Min","Range Max","Key","Class","Folder","Tags","Aim 1","Area 1","Aim 2","Area 2","Aim 3","Area 3","Keywords","No Reward","Animation","GUID","Sync","Notes","Buildable","Engine Work","Source","Priority"
"Rupture","2","Rare","Damage 5","Poison 4","","Deal 5 damage and apply 4 Poison.","Chebyshev","1","1","Rupture","Rogue","Melee Attack","Attack, Poison","Tile","Single","Tile","Single","","","","FALSE","","",,"","Yes","","","High"
"Blade Flurry","2","Rare","Damage 3","Double Next Attack","","Deal 3 damage and double your next attack.","SelfTile","0","0","BladeFlurry","Rogue","Buff (Offensive)","Attack","Tile","Single","Self","Single","","","","FALSE","","",,"","Yes","","","Med"
"Sharpen","1","Common","Strength 2","","","Gain 2 Strength.","SelfTile","0","0","Sharpen","Rogue","Buff (Offensive)","Attack","Self","Single","","","","","","FALSE","","",,"Rogue has an empty Buff (Offensive) folder.","Yes","","","Med"
"Adrenaline","1","Uncommon","Draw 2","","","Draw 2 cards.","SelfTile","0","0","Adrenaline","Rogue","Buff (Offensive)","Attack","Self","Single","","","","","","FALSE","","",,"","Yes","","StS","High"
"Expose Weakness","1","Common","Weaken 4","","","Apply 4 Weaken.","Chebyshev","1","2","ExposeWeakness","Rogue","Debuff","Attack","Tile","Single","","","","","","FALSE","","",,"","Yes","","","Med"
"Toxic Cloud","3","Rare","Poison 3","","","Apply 3 Poison to everything within 2 tiles of the target.","Chebyshev","1","3","ToxicCloud","Rogue","Debuff","Poison","Tile","Manhattan 0-2","","","","","","FALSE","","",,"","Yes","","","Med"
"Evasive Maneuvers","2","Rare","Dodge 2","","","Gain 2 Dodge charges.","SelfTile","0","0","EvasiveManeuvers","Rogue","Buff (Defensive)","Defence","Self","Single","","","","","","FALSE","","",,"","Yes","","","Med"
"Preparation","0","Rare","Draw 1","","","Draw a card.","SelfTile","0","0","Preparation","Rogue","Buff (Offensive)","Attack","Self","Single","","","","","","FALSE","","",,"","Yes","","StS","Med"
"Combo Strike","1","Rare","","","","Deal 4 damage, plus 3 more for each card played before it this turn.","Chebyshev","1","1","ComboStrike","Rogue","Melee Attack","Attack","","","","","","","","FALSE","","",,"Cheap, and it makes hand order matter for the first time.","Needs System","A cards-played-this-turn counter on Character, reset on turn start, read through ActionContext.","StS / Griftlands","High"
"Poisoned Blade","1","Rare","","","","Your attacks apply 1 Poison this turn.","SelfTile","0","0","PoisonedBlade","Rogue","Buff (Offensive)","Poison","","","","","","","","FALSE","","",,"Probably the cheapest new status on this whole list.","Needs Status","A status with an OnDealDamage hook that also applies Poison. OnDealDamage exists and already returns DamageInfo, so this is a small addition.","WoW","High"
"Assassinate","2","Legendary","","","","Kill a target below 20% health outright.","Chebyshev","1","1","Assassinate","Rogue","Melee Attack","Attack","","","","","","","","FALSE","","",,"","Needs Effect","An execute effect reading the target's health ratio at resolve time.","WoW / Hearthstone","Med"
"Sleight of Hand","1","Uncommon","","","","Discard a card, then draw 2.","SelfTile","0","0","SleightOfHand","Rogue","Buff (Offensive)","Attack","","","","","","","","FALSE","","",,"","Needs Effect","DiscardEffect plus a way to choose which card - the first card needing a secondary selection UI.","StS","Low"
"Shiv","0","Common","Damage 4","","","Deal 4 damage. Exhaust.","Chebyshev","1","1","Shiv","Rogue","Melee Attack","Attack","Tile","Single","","","","","","FALSE","","",,"","Needs System","Exhaust keyword - shared with the Knight's Exhausting Charge.","StS","High"
"Deadly Momentum","2","Rare","","","","Whenever you kill an enemy this turn, draw a card and gain 1 energy.","SelfTile","0","0","DeadlyMomentum","Rogue","Buff (Offensive)","Attack","","","","","","","","FALSE","","",,"OnKill unlocks a whole archetype and nothing else provides it.","Needs Hook","An OnKill notification. Nothing observes a death today.","Griftlands","High"
"Cloak","2","Rare","","","","Enemies cannot target you until you attack.","SelfTile","0","0","Cloak","Rogue","Buff (Defensive)","Defence","","","","","","","","FALSE","","",,"","Needs Status","An untargetable flag TargetSelector honours. Taunt already proves targeting can be overridden - ForcedQuarry is the hook to mirror.","WoW","Med"
"Bleed","1","Uncommon","","","","Deal damage equal to the target's missing health, up to 10.","Chebyshev","1","1","Bleed","Rogue","Melee Attack","Attack","","","","","","","","FALSE","","",,"","Needs Effect","Scaling damage read off the target - same machinery as the Knight's Judgement, aimed the other way.","Darkest Dungeon","Med"
"Doppelganger","3","Legendary","","","","Play a copy of the last card you played this turn.","SelfTile","0","0","Doppelganger","Rogue","Buff (Offensive)","Attack","","","","","","","","FALSE","","",,"","Needs System","Card-play history plus re-resolution - shared with the Mage's Spell Echo.","StS","Low"
"Nightmare","2","Rare","","","","The target attacks its own allies next turn.","Chebyshev","1","3","Nightmare","Rogue","Debuff","Attack","","","","","","","","FALSE","","",,"","Needs Status","A status that flips ally/enemy in TargetSelector for one character. EnemyBrain picks its own target, so this needs a hook there too.","Darkest Dungeon / D&D Confusion","Low"
"Death Blossom","3","Legendary","Damage 8","Poison 3","","Deal 8 damage and apply 3 Poison to everything within 2 tiles.","SelfTile","0","0","DeathBlossom","Rogue","Melee Attack","Attack, Poison","Self","Manhattan 0-2","Self","Manhattan 0-2","","","","FALSE","","",,"","Yes","","","Med"
"Thousand Cuts","3","Rare","Damage 6","Poison 6","","Deal 6 damage and apply 6 Poison.","Chebyshev","1","1","ThousandCuts","Rogue","Melee Attack","Attack, Poison","Tile","Single","Tile","Single","","","","FALSE","","",,"","Yes","","","Med"
"Shadow Dance","3","Legendary","Move","Dodge 3","Draw 2","Move, gain 3 Dodge charges, and draw 2.","Chebyshev","1","3","ShadowDance","Rogue","Movement","Movement, Defence","Tile","Single","Self","Single","Self","Single","","FALSE","","",,"","Yes","","WoW","Med"
"Venom Totem","2","Rare","","","","Summon a totem that poisons nearby enemies.","Chebyshev","1","3","VenomTotem","Rogue","Summon","Summon, Poison","","","","","","","","FALSE","","",,"Same near-free win as the Knight's Banner of Valor.","Needs System","A Totem prefab with a Poison aura and AuraAudience.Enemies. AuraData supports this already - it needs authoring, not code.","WoW","High"
"Perfect Assassin","3","Legendary","Damage 20","Poison 5","","Deal 20 damage and apply 5 Poison.","Chebyshev","1","1","PerfectAssassin","Rogue","Melee Attack","Attack, Poison","Tile","Single","Tile","Single","","","","FALSE","","",,"","Yes","","","Low"
"Blade Storm","3","Rare","Damage 7","","","Deal 7 damage to everything around you.","SelfTile","0","0","BladeStorm","Rogue","Melee Attack","Attack","Self","Chebyshev 0-1","","","","","","FALSE","","",,"","Yes","","","Med"
"Master of Shadows","3","Legendary","Strength 3","Dodge 2","Draw 2","Gain 3 Strength and 2 Dodge charges, then draw 2.","SelfTile","0","0","MasterOfShadows","Rogue","Buff (Offensive)","Attack, Defence","Self","Single","Self","Single","Self","Single","","FALSE","","",,"","Yes","","","Med"
"Lethal Dose","3","Rare","Poison 10","","","Apply 10 Poison.","Chebyshev","1","1","LethalDose","Rogue","Debuff","Poison","Tile","Single","","","","","","FALSE","","",,"Poison decays by 1 a turn, so 10 stacks is 55 damage over 10 turns - check this against the curve before shipping.","Yes","","","Med"
"Cutthroat","2","Rare","Damage 12","Weaken 3","","Deal 12 damage and apply 3 Weaken.","Chebyshev","1","1","Cutthroat","Rogue","Melee Attack","Attack","Tile","Single","Tile","Single","","","","FALSE","","",,"","Yes","","","Med"
"Final Act","3","Legendary","Damage 15","Draw 3","","Deal 15 damage and draw 3.","Chebyshev","1","1","FinalAct","Rogue","Melee Attack","Attack","Tile","Single","Self","Single","","","","FALSE","","",,"","Yes","","","Med"
