"Card Name","Cost","Rarity","Effect 1","Effect 2","Effect 3","Description","Range Shape","Range Min","Range Max","Key","Class","Folder","Tags","Aim 1","Area 1","Aim 2","Area 2","Aim 3","Area 3","Keywords","No Reward","Animation","GUID","Sync","Notes","Buildable","Engine Work","Source","Priority"
"Anchor","1","Common","","","","You cannot be pushed or pulled this turn.","SelfTile","0","0","Anchor","Knight","Buff (Defensive)","Defence","","","","","","","","FALSE","","","NEW","Only worth building once push exists.","Needs Status","ImmovableStatus with a DisplacementRefusal gate, plus StatusType.Immovable appended to the enum.","Into the Breach","Low"
"Grapple","1","Uncommon","","","","Pull the target 1 tile toward you.","Chebyshev","1","2","Grapple","Knight","Melee Attack","Attack, Movement","","","","","","","","FALSE","","","NEW","","Needs Effect","PullEffect - the inverse of PushEffect; both should share one displacement helper.","D&D grapple","High"
"Zone of Control","2","Rare","","","","Summon a totem that deals 3 damage to any enemy standing next to it at end of turn.","Chebyshev","1","2","ZoneOfControl","Knight","Summon","Defence, Summon","","","","","","","","FALSE","","","NEW","","Needs System","A second Totem prefab with a damaging AuraReaction on an end-of-turn trigger. TriggeringActionType has no turn-end entry yet.","Into the Breach / FFT","Med"
"Shield Wall","2","Rare","Block 2","","","You and every adjacent ally gain 2 Block charges.","SelfTile","0","0","ShieldWall","Knight","Buff (Defensive)","Defence","Self","Manhattan 0-1","","","","","","FALSE","","","NEW","","Yes","","Phalanx","High"
"Interpose","1","Rare","","","","Swap places with an adjacent ally.","Chebyshev","1","1","Interpose","Knight","Movement","Movement, Defence","","","","","","","","FALSE","","","NEW","","Needs Effect","SwapEffect - exchange two occupants. Character.MoveTo assumes the destination is empty, so this needs a paired swap on GridManager.","FFT / Fire Emblem","Med"
"Hold the Line","2","Uncommon","Taunt","Block 2","","Taunt the target and gain 2 Block charges.","Chebyshev","1","3","HoldTheLine","Knight","Buff (Defensive)","Defence","Tile","Single","Self","Single","","","","FALSE","","","NEW","Taunt has exactly one card today.","Yes","","","High"
"Fortify Position","1","Common","Shield 5","Root","","Gain 5 Shield, but you are Rooted - the cost of digging in.","SelfTile","0","0","FortifyPosition","Knight","Buff (Defensive)","Defence","Self","Single","Self","Single","","","","FALSE","","","NEW","Rooting yourself is already expressible: Root aimed at Self. A genuine drawback card with no new code.","Yes","","Darkest Dungeon","High"
"Vanguard","2","Rare","Move","","","Move, then Taunt every enemy adjacent to where you land.","Chebyshev","1","3","Vanguard","Knight","Movement","Movement, Defence","Tile","Single","","","","","","FALSE","","","NEW","","Needs Effect","Same DashAttackEffect problem as Shield Charge - the second effect must aim from the destination tile.","Into the Breach","Med"
"Rallying Cry","2","Uncommon","Strength 2","","","You and every ally within 2 tiles gain 2 Strength.","SelfTile","0","0","RallyingCry","Knight","Buff (Offensive)","Attack","Self","Manhattan 0-2","","","","","","FALSE","","","NEW","","Yes","","Warcraft","High"
"Intimidate","1","Common","Weaken 2","","","Apply 2 Weaken.","Chebyshev","1","3","Intimidate","Knight","Debuff","Attack","Tile","Single","","","","","","FALSE","","","NEW","","Yes","","","Med"
"Crushing Blow","2","Uncommon","Damage 5","Weaken 3","","Deal 5 damage and apply 3 Weaken.","Chebyshev","1","1","CrushingBlow","Knight","Melee Attack","Attack","Tile","Single","Tile","Single","","","","FALSE","","","NEW","","Yes","","","Med"
"Armor Up","1","Common","Double Shield","","","Your next Shield gain is doubled.","SelfTile","0","0","ArmorUp","Knight","Buff (Defensive)","Defence","Self","Single","","","","","","FALSE","","","NEW","DoubleShield has one card today.","Yes","","","Med"
"Perfect Guard","2","Rare","Block 3","Double Shield","","Gain 3 Block charges. Your next Shield gain is doubled.","SelfTile","0","0","PerfectGuard","Knight","Buff (Defensive)","Defence","Self","Single","Self","Single","","","","FALSE","","","NEW","","Yes","","","Med"
"Punish","1","Uncommon","Damage 5","Root","","Deal 5 damage and Root the target.","Chebyshev","1","1","Punish","Knight","Melee Attack","Attack","Tile","Single","Tile","Single","","","","FALSE","","","NEW","","Yes","","","High"
"Battle Focus","1","Uncommon","Double Next Attack","","","Your next attack deals double damage.","SelfTile","0","0","BattleFocus","Knight","Buff (Offensive)","Attack","Self","Single","","","","","","FALSE","","","NEW","","Yes","","","Med"
"Warcry","2","Rare","Strength 3","Draw 1","","Gain 3 Strength and draw a card.","SelfTile","0","0","Warcry","Knight","Buff (Offensive)","Attack","Self","Single","Self","Single","","","","FALSE","","","NEW","","Yes","","","Med"
"Shield of Faith","1","Common","Shield 5","","","Give an ally 5 Shield.","Manhattan","1","2","ShieldOfFaith","Knight","Buff (Defensive)","Defence","Tile","Single","","","","","","FALSE","","","NEW","","Yes","","D&D","Med"
"Unbreakable","3","Legendary","Shield 10","Block 5","Double Shield","Gain 10 Shield and 5 Block charges. Your next Shield gain is doubled.","SelfTile","0","0","Unbreakable","Knight","Buff (Defensive)","Defence","Self","Single","Self","Single","Self","Single","","FALSE","","","NEW","","Yes","","","Low"
"Retribution","2","Rare","","","","Whenever you take damage this turn, deal 3 back to the attacker.","SelfTile","0","0","Retribution","Knight","Buff (Defensive)","Defence","","","","","","","","FALSE","","","NEW","Fits the Knight fantasy better than anything else on this list.","Needs Status","ThornsStatus with an OnTakeDamage hook that calls TakeDamage on DamageInfo.Source. MaxParryBounces already shows how to stop the recursion.","MtG / Diablo","High"
"Bastion","2","Rare","","","","Your Shield is no longer wiped at the start of your turn.","SelfTile","0","0","Bastion","Knight","Buff (Defensive)","Defence","","","","","","","","FALSE","","","NEW","Directly answers the balance note that Shield is worse than Block right now.","Needs Status","PersistentShieldStatus, or a flag ShieldStatus checks in its OnTurnStart before clearing.","StS Barricade","High"
"Counterattack","1","Rare","","","","The next time you Block an attack, deal 5 damage back.","SelfTile","0","0","Counterattack","Knight","Buff (Defensive)","Attack, Defence","","","","","","","","FALSE","","","NEW","","Needs Hook","An OnBlocked notification. BlockStatus currently just reduces DamageInfo and tells nobody.","FFT Blade Grasp","Med"
"Momentum","1","Uncommon","","","","Deal 4 damage. Permanently gains +2 damage each time you play it this battle.","Chebyshev","1","1","Momentum","Knight","Melee Attack","Attack","","","","","","","","FALSE","","","NEW","The Card/CardData split was built for this - it is cheaper than it looks.","Needs System","Per-copy mutable state on Card (CardData is shared, so the counter cannot live there). Card already exists for exactly this.","StS Ritual Dagger","High"
"Oath of Protection","2","Rare","","","","Damage dealt to the chosen ally is redirected to you.","Manhattan","1","2","OathOfProtection","Knight","Buff (Defensive)","Defence","","","","","","","","FALSE","","","NEW","","Needs Status","RedirectStatus on the ally with an OnTakeDamage hook that forwards to the guardian. Needs a guard against two knights redirecting to each other.","D&D Paladin","Med"
"Exhausting Charge","1","Common","Damage 10","","","Deal 10 damage. Exhaust.","Chebyshev","1","1","ExhaustingCharge","Knight","Melee Attack","Attack","Tile","Single","","","","","","FALSE","","","NEW","Cheapest new keyword to add - CardKeywordEntry was designed for it.","Needs System","Exhaust as a CardKeywordType plus removal from the pile cycle in Character. The keyword list already exists to be extended.","Slay the Spire","High"
"Shield Throw","2","Uncommon","","","","Deal 5 damage to every enemy in a straight line.","Chebyshev","1","3","ShieldThrow","Knight","RangedAttack","Attack","","","","","","","","FALSE","","","NEW","Possibly buildable already via a painted EffectPattern.","Needs Effect","A line/pierce area. EffectPattern can paint a line, so this may only need a Line pattern asset rather than new code - worth checking first.","Captain America / Into the Breach","High"
"Judgement","3","Legendary","","","","Deal damage equal to your current Shield.","Chebyshev","1","1","Judgement","Knight","Melee Attack","Attack","","","","","","","","FALSE","","","NEW","Turns the Knight defensive pile into a win condition.","Needs Effect","ScalingDamageEffect that reads a stat off the source at resolve time. Actions are stateless, so the value must come from ActionContext.","StS Body Slam","High"
"Fortress","3","Legendary","","","","Gain Shield equal to twice your Block charges.","SelfTile","0","0","Fortress","Knight","Buff (Defensive)","Defence","","","","","","","","FALSE","","","NEW","","Needs Effect","Same ScalingDamageEffect machinery, reading StatusStacks(StatusType.Block).","StS","Low"
"Reprisal","2","Rare","","","","Deal damage equal to what you took last turn.","Chebyshev","1","1","Reprisal","Knight","Melee Attack","Attack","","","","","","","","FALSE","","","NEW","","Needs System","A per-turn damage-taken tally on Character, reset on turn start.","Darkest Dungeon","Low"
"Avatar of Steel","3","Legendary","Shield 15","Strength 3","Draw 1","Gain 15 Shield and 3 Strength, then draw a card.","SelfTile","0","0","AvatarOfSteel","Knight","Buff (Defensive)","Defence, Attack","Self","Single","Self","Single","Self","Single","","FALSE","","","NEW","","Yes","","","Med"
"Earthshatter","3","Rare","Damage 8","","","Deal 8 damage to everything in a 3x3 area.","Chebyshev","1","2","Earthshatter","Knight","Melee Attack","Attack","Tile","Chebyshev 0-1","","","","","","FALSE","","","NEW","","Yes","","D&D Shatter","Med"
"Whirlwind","2","Rare","Damage 6","","","Deal 6 damage to everything around you.","SelfTile","0","0","Whirlwind","Knight","Melee Attack","Attack","Self","Chebyshev 0-1","","","","","","FALSE","","","NEW","","Yes","","Diablo","High"
"Immovable Object","3","Legendary","Taunt","Shield 10","Block 5","Taunt the target. Gain 10 Shield and 5 Block charges.","Chebyshev","1","3","ImmovableObject","Knight","Buff (Defensive)","Defence","Tile","Single","Self","Single","Self","Single","","FALSE","","","NEW","","Yes","","","Med"
"Executioner","3","Rare","Damage 15","","","Deal 15 damage.","Chebyshev","1","1","Executioner","Knight","Melee Attack","Attack","Tile","Single","","","","","","FALSE","","","NEW","","Yes","","","Low"
"Banner of Valor","3","Rare","","","","Summon a banner granting every nearby ally 1 Strength.","Chebyshev","1","2","BannerOfValor","Knight","Summon","Summon, Attack","","","","","","","","FALSE","","","NEW","Nearly free: Totem + AuraData already do auras, there is just no prefab using them.","Needs System","A Totem prefab with a Strength aura. AuraData already supports this - it needs a prefab authored, not new code.","Warcraft","High"
"Divine Intervention","3","Legendary","Heal 10","Shield 10","","Every ally within 2 tiles heals 10 and gains 10 Shield.","SelfTile","0","0","DivineIntervention","Knight","Heal","Healing, Defence","Self","Manhattan 0-2","Self","Manhattan 0-2","","","","FALSE","","","NEW","","Yes","","D&D","Med"
"Siege Breaker","3","Rare","Damage 10","","","Deal 10 damage to every enemy within 2 tiles.","SelfTile","0","0","SiegeBreaker","Knight","Melee Attack","Attack","Self","Manhattan 0-2","","","","","","FALSE","","","NEW","","Yes","","","Med"
"Final Bulwark","3","Legendary","Block 5","Parry 1","","Gain 5 Block charges and 3 Parry charges.","SelfTile","0","0","FinalBulwark","Knight","Buff (Defensive)","Defence","Self","Single","Self","Single","","","","FALSE","","","NEW","Parry 3 would need a Parry 3 effect asset; two entries is the buildable version.","Yes","","","Low"
"Heroic Sacrifice","2","Legendary","","","","Lose half your health. Deal that much to every enemy within 2 tiles.","SelfTile","0","0","HeroicSacrifice","Knight","Melee Attack","Attack","","","","","","","","FALSE","","","NEW","","Needs Effect","SelfDamageEffect plus the same scaling-damage machinery as Judgement.","Darkest Dungeon","Low"
