"Card Name","Cost","Rarity","Effect 1","Effect 2","Effect 3","Description","Range Shape","Range Min","Range Max","Key","Class","Folder","Tags","Aim 1","Area 1","Aim 2","Area 2","Aim 3","Area 3","Keywords","No Reward","Rotatable","Animation","GUID","Sync","Notes"
"Pincer Grip","1","NotOffered","Damage 4","Block 2","","Deal 4 damage. Gain 2 Block.","Chebyshev","1","1","PincerGrip","Any","Crab","Attack","Tile","Single","Self","Single","","","","FALSE","FALSE","","2c191dc4234fac04e8738aabc36b6cee","Live",""
"Royal Command","0","NotOffered","SummonLightBanditMinion","","","Summon a Light Bandit.","Chebyshev","1","3","RoyalCommand","Any","EvilKing","Summon","Tile","Single","","","","","Cooldown 3","FALSE","FALSE","","a1daffbc393702947b8e63307f588d5d","Live",""
"Executioner's Blow","1","NotOffered","Damage 9","","","Deal 9 damage.","Chebyshev","1","1","ExecutionersBlow","Any","EvilKing","Attack","Tile","Single","","","","","","FALSE","FALSE","","8997d569af1bef44aa831ed6fe2aa939","Live",""
"Royal Guard","1","NotOffered","Damage 5","Shield 10","","Deal 5 damage within 1 tile. Gain 10 Shield.","Chebyshev","1","1","RoyalGuard","Any","EvilKing","Attack","Tile","Chebyshev 0-1","Self","Single","","","","FALSE","FALSE","","c330fc715539b424d876b3642e7c9919","Live",""
"Rally","0","NotOffered","SummonHeavyBanditMinion","","","Summon a Heavy Bandit.","Chebyshev","1","3","Rally","Any","EvilKnight","Summon","Tile","Single","","","","","Cooldown 4","FALSE","FALSE","","43b25c70bde2b7645abfca6e8feac7d4","Live",""
"Riposte","1","NotOffered","Damage 6","Parry 1","","Deal 6 damage. Gain 1 Parry.","Chebyshev","1","1","Riposte","Any","EvilKnight","Attack","Tile","Single","Self","Single","","","","FALSE","FALSE","","aefe57b35c9afe64ba4eb9112efd9883","Live",""
"Shield Bash","1","NotOffered","Damage 4","Shield 10","","Deal 4 damage. Gain 10 Shield.","Chebyshev","1","1","ShieldBash","Any","EvilKnight","Attack","Tile","Single","Self","Single","","","","FALSE","FALSE","","51f29b7e912127f43ad357fd5f12663c","Live",""
"Summon Imp","0","NotOffered","SummonGoblinMinion","","","Summon a Goblin.","Chebyshev","1","3","SummonImp","Any","EvilWizard","Summon","Tile","Single","","","","","Cooldown 3","FALSE","FALSE","","a88d8789fe23d7b4a8803cfab0721cc0","Live",""
"Dark Bolt","1","NotOffered","Damage 5","","","Deal 5 damage.","Chebyshev","2","5","DarkBolt","Any","EvilWizard","Attack","Tile","Single","","","","","","FALSE","FALSE","","d7683e27219ae7a49bbe364a274bfc22","Live",""
"Shadow Ward","1","NotOffered","Damage 3","Shield 7","","Deal 3 damage. Gain 7 Shield.","Chebyshev","1","4","ShadowWard","Any","EvilWizard","Attack","Tile","Single","Self","Single","","","","FALSE","FALSE","","6f6aee052e565334184d68675bbc9306","Live",""
"Call the Swarm","0","NotOffered","SummonBatMinion","","","Summon a Bat.","Chebyshev","1","3","CallTheSwarm","Any","EvilWizard2","Summon","Tile","Single","","","","","Cooldown 2","FALSE","FALSE","","ece43c6ee0d65dd40b59ed491b201779","Live",""
"Arcane Lance","1","NotOffered","Damage 6","","","Deal 6 damage.","Chebyshev","2","5","ArcaneLance","Any","EvilWizard2","Attack","Tile","Single","","","","","","FALSE","FALSE","","c31b41c07840eef46872d698ddd854e5","Live",""
"Void Barrier","1","NotOffered","Damage 3","Block 4","","Deal 3 damage. Gain 4 Block.","Chebyshev","1","4","VoidBarrier","Any","EvilWizard2","Attack","Tile","Single","Self","Single","","","","FALSE","FALSE","","9b758a484d41478459502850e55de625","Live",""
"Conjure Ooze","0","NotOffered","SummonSlimeMinion","","","Summon a Slime.","Chebyshev","1","3","ConjureOoze","Any","EvilWizard3","Summon","Tile","Single","","","","","Cooldown 3","FALSE","FALSE","","46914671440488144a08d7e55f93496e","Live",""
"Ember Shroud","1","NotOffered","Damage 4","Shield 7","","Deal 4 damage. Gain 7 Shield.","Chebyshev","1","4","EmberShroud","Any","EvilWizard3","Fire","Tile","Single","Self","Single","","","","FALSE","FALSE","","0ae0a9ae1c0ad544897834ac7222f51a","Live",""
"Meteor Fall","1","NotOffered","Damage 6","","","Deal 6 damage to everything within 1 tile.","Chebyshev","2","5","MeteorFall","Any","EvilWizard3","Fire","Tile","Chebyshev 0-1","","","","","","FALSE","FALSE","","28c0d441d22ffde47bbdbcd202e0d299","Live",""
"Withering Gaze","1","NotOffered","Damage 3","","","Deal 3 damage.","Chebyshev","2","4","WitheringGaze","Any","FlyingEye","Attack","Tile","Single","","","","","","FALSE","FALSE","","07914c39ca22b974e8a5a2e0670dc72c","Live",""
"Backstab","1","NotOffered","Damage 4","","","Deal 4 damage.","Chebyshev","1","1","Backstab","Any","Goblin","Attack","Tile","Single","","","","","","FALSE","FALSE","","538cb111b2eeb4240b4ba7d42cdb3127","Live",""
"Boulder Smash","1","NotOffered","Damage 5","","","Deal 5 damage.","Chebyshev","1","1","BoulderSmash","Any","Golem","Attack","Tile","Single","","","","","","FALSE","FALSE","","cd738dbc70183eb43b9d0f1617e7fccb","Live",""
"Heavy Swing","1","NotOffered","Damage 6","","","Deal 6 damage.","Chebyshev","1","1","HeavySwing","Any","HeavyBandit","Attack","Tile","Single","","","","","","FALSE","FALSE","","07c85180eb038d04abd37cebfdfb4271","Live",""
"Quick Cut","1","NotOffered","Damage 3","Weaken","","Deal 3 damage. Apply Weaken.","Chebyshev","1","1","QuickCut","Any","LightBandit","Attack","Tile","Single","Tile","Single","","","","FALSE","FALSE","","2349e2cdc34243246829058448485960","Live",""
"Chomp","1","NotOffered","Damage 7","","","Deal 7 damage.","Chebyshev","1","1","Chomp","Any","Mimic","Attack","Tile","Single","","","","","","FALSE","FALSE","","239c09d57f556754db620c1adca26b94","Live",""
"Spore Cloud","1","NotOffered","Poison 3","","","Apply 3 Poison to everything within 1 tile.","Chebyshev","1","3","SporeCloud","Any","Mushroom","Poison","Tile","Chebyshev 0-1","","","","","","FALSE","FALSE","","2219d300acbaec4488c053a9324844a7","Live",""
"Roll","1","NotOffered","Damage 2","","","Deal 2 damage.","Chebyshev","1","1","Roll","Any","Pebble","Attack","Tile","Single","","","","","","FALSE","FALSE","","c4116d531ca49814bb08afec090aa2ff","Live",""
"Plague Bite","1","NotOffered","Damage 2","Poison 3","","Deal 2 damage. Apply 3 Poison.","Chebyshev","1","1","PlagueBite","Any","PlagueRat","Poison","Tile","Single","Tile","Single","","","","FALSE","FALSE","","ae3460f6e67545444b30dba2e2091781","Live",""
"Gnaw","1","NotOffered","Damage 2","Poison 2","","Deal 2 damage. Apply 2 Poison.","Chebyshev","1","1","Gnaw","Any","Rat","Poison","Tile","Single","Tile","Single","","","","FALSE","FALSE","","df94d1a8e1d8c13448e8720f4acbf71d","Live",""
"Raise Dead","0","NotOffered","SummonSkeletonMinion","","","Summon a Skeleton.","Chebyshev","1","4","RaiseDead","Any","Reaper","Summon","Tile","Single","","","","","Cooldown 3","FALSE","FALSE","","12d3f837e6375f046b590dfb06c3b1f0","Live",""
"Death's Toll","1","NotOffered","Damage 4","Vulnerable","","Deal 4 damage and apply Vulnerable within 1 tile.","Chebyshev","1","4","DeathsToll","Any","Reaper","Attack","Tile","Chebyshev 0-1","Tile","Chebyshev 0-1","","","","FALSE","FALSE","","9aa98cf1d02a0d547ad7499cf286ce22","Live",""
"Soul Reap","1","NotOffered","Damage 6","Heal 5","","Deal 6 damage. Heal 5.","Chebyshev","1","2","SoulReap","Any","Reaper","Attack","Tile","Single","Self","Single","","","","FALSE","FALSE","","c90aeb9fd1b522e4e9ceb442096ded71","Live",""
"Splinter Off","0","NotOffered","SummonPebbleMinion","","","Summon a Pebble.","Chebyshev","1","2","SplinterOff","Any","ReinforcedGolem","Summon","Tile","Single","","","","","Cooldown 2","FALSE","FALSE","","6116b877e2e1c1f4abc120a10be8fdc9","Live",""
"Seismic Slam","1","NotOffered","Damage 7","","","Deal 7 damage to everything within 1 tile.","Chebyshev","1","1","SeismicSlam","Any","ReinforcedGolem","Attack","Tile","Chebyshev 0-1","","","","","","FALSE","FALSE","","b1d01ab28ff9495499af5f2e132fecb3","Live",""
"Stone Skin","1","NotOffered","Damage 4","Shield 10","","Deal 4 damage. Gain 10 Shield.","Chebyshev","1","1","StoneSkin","Any","ReinforcedGolem","Attack","Tile","Single","Self","Single","","","","FALSE","FALSE","","e2e16c0d28c76d54192dc306b83409e4","Live",""
"Bone Bulwark","1","NotOffered","Damage 3","Shield 5","","Deal 3 damage. Gain 5 Shield.","Chebyshev","1","1","BoneBulwark","Any","Skeleton","Attack","Tile","Single","Self","Single","","","","FALSE","FALSE","","c605de25d1ddef545ae635249c67fbc3","Live",""
"Bone Chill","1","NotOffered","Damage 3","Vulnerable","","Deal 3 damage. Apply Vulnerable.","Chebyshev","1","3","BoneChill","Any","Skull","Attack","Tile","Single","Tile","Single","","","","FALSE","FALSE","","ef4c334c610218f46a34acd971f2a448","Live",""
"Engulf","1","NotOffered","Damage 3","Root","","Deal 3 damage. Apply Root.","Chebyshev","1","1","Engulf","Any","Slime","Attack","Tile","Single","Tile","Single","","","","FALSE","FALSE","","f8ada88cc46e5954d9fee21de35c0055","Live",""
"Spike Burst","1","NotOffered","Damage 3","","","Deal 3 damage to everything within 1 tile.","Chebyshev","1","1","SpikeBurst","Any","SpikedSlime","Attack","Tile","Chebyshev 0-1","","","","","","FALSE","FALSE","","75f20f8d944d59c499e2ca84270e72b2","Live",""
"Life Leech","1","NotOffered","Damage 3","Heal 3","","Deal 3 damage. Heal 3.","Chebyshev","1","1","LifeLeech","Any","VampireBat","Attack","Tile","Single","Self","Single","","","","FALSE","FALSE","","74c088f7aa523704380454f17ee28cc5","Live",""
