"Item","Ord","Modifier Type","Describe","amount","bonus","bonusEnergy","bonusHandSize","condition","filter.cards","filter.tags","grantedStacks","grantedStatus","incomingReduction","outgoing","perStack","stacks","subject","totemsOnly","type","Mod Id","GUID","Sync","Notes"
"Bloodshard Ring","0","ConditionalDamageModifier","+3 damage while below half health","","3","","","BelowHalfHealth","","","","","","","","","","","","8568243603543728403","2608c7be7da3dc840a5501d17e1db021","Live",""
"Bramblewreath","0","ThornsModifier","Attackers take 2 damage","2","","","","","","","","","","","","","","","","3220049292837479092","db96db7956dc2224297744e7b0caad6a","Live",""
"Cascade Ring","0","GrantBonusModifier","Parry +1 per grant","","1","","","","","","","","","","","","Parry","","","-6844785790823747336","131e0a862d3d5364691b5022ab2dc9b7","Live",""
"Cinderforge Ring","0","CardTuningModifier","+3","","","","","","","Fire","","","","","","","","","","-8236498819126017760","046860ea13c2f4d4eb6bc85ceeb7bdb3","Live",""
"Deathgrip Signet","0","KillRewardModifier","Kills grant 1 energy","","","1","","","","","0","None","","","","","","","","-3460003135338452183","af1dbbca5becf384e9a7dc7b4aab1d19","Live",""
"Deepcoral Signet","0","DamageBonusModifier","+2 dmg, -1 taken","","","","","","","","","","1","2","","","","","","1782778179627086100","6b61448a6b1a85043bb3aec047e976b2","Live",""
"Dread Sovereign","0","AppliedPotencyModifier","Weaken you apply: +2 | Kills grant Strength 1","","2","","","","","","","","","","","","Weaken","","","-2197680824434118485","384357e58a665144b8e6243bf2779bce","Live",""
"Dread Sovereign","1","KillRewardModifier","Weaken you apply: +2 | Kills grant Strength 1","","","0","","","","","1","Strength","","","","","","","","-4643398525304920664","384357e58a665144b8e6243bf2779bce","Live",""
"Emberwood Band","0","CardTuningModifier","Cost -1","","","","","","","Fire","","","","","","","","","","-7275056591095002237","6add3031dbe4dc44aa64bed9dee48124","Live",""
"Glacier Band","0","StatusGrantModifier","Permanent Shield 2","","","","","","","","","","","","","2","","","Shield","-8506841979682781575","e053f08dd4e77594182ccb5307e59386","Live",""
"Harlequin Band","0","GrantBonusModifier","Dodge +1 per grant","","1","","","","","","","","","","","","Dodge","","","230769539244639324","7fe436a4fc70d7b468666152ec19481a","Live",""
"Manaflow Ring","0","CardTuningModifier","Cost -1","","","","","","","Defence","","","","","","","","","","5840524128741585765","1f8dc71acb2df6a42b6d297b0a3a0fc4","Live",""
"Marigold Band","0","StatusGrantModifier","Permanent Regeneration 2","","","","","","","","","","","","","2","","","Regeneration","4385464322254215299","694de4aa707485e4aa295f481130c4f1","Live",""
"Opaline Charm","0","ResourceModifier","+1 energy, +1 cards each turn","","","1","1","","","","","","","","","","","","","9218621881995273280","3b457afdbda824e4da5b5148ad3394a0","Live",""
"Panther's Eye","0","ConditionalDamageModifier","+3 damage while at full health","","3","","","AtFullHealth","","","","","","","","","","","","6331326233893156822","1c712f8e0d0af794b8d05f34c31b5388","Live",""
"Rimeguard Band","0","StatusGrantModifier","Permanent Block 2","","","","","","","","","","","","","2","","","Block","8969321099661361594","82d1448bcddc7d3488e8ed174c19d57b","Live",""
"Ring of Focus","0","ResourceModifier","+1 energy each turn","","","1","0","","","","","","","","","","","","","6534602296255291231","32b10e334a4b1cd4a9b7f0141bee8c80","Live",""
"Seraph's Ward","0","StatusGrantModifier","Permanent Shield 3 | Shield +1 per grant","","","","","","","","","","","","","3","","","Shield","-5511067865609672603","79a658d7ca03aa24e9ec0213a282c142","Live",""
"Seraph's Ward","1","GrantBonusModifier","Permanent Shield 3 | Shield +1 per grant","","1","","","","","","","","","","","","Shield","","","8533047918303186147","79a658d7ca03aa24e9ec0213a282c142","Live",""
"Serpent's Coil","0","StatusGrantModifier","Permanent PoisonBlade 1","","","","","","","","","","","","","1","","","PoisonBlade","1731878329824847347","7041612277fdd0a4d9f804983b02d7f2","Live",""
"Sporecap Ring","0","AppliedPotencyModifier","Vulnerable you apply: +1","","1","","","","","","","","","","","","Vulnerable","","","4032050483251206510","586a2c7a7288e80469e4da1bd6f2bf60","Live",""
"Stormsplit Ring","0","ScalingDamageModifier","+1 damage per Strength stack held","","","","","","","","","","","","1","","Strength","","","4337339263793352919","d445cc9fc75c05e4180d7170c0e45ac2","Live",""
"Vampire's Token","0","StatusGrantModifier","Permanent Lifesteal 1","","","","","","","","","","","","","1","","","Lifesteal","-3826258581685131776","d9425b662aef8424db22892387cce27b","Live",""
"Wardens' Braid","0","GrantBonusModifier","Poison +1 per grant","","1","","","","","","","","","","","","Poison","","","-6928115594443510871","fd782f182f028cf4e87fd2756788cd35","Live",""
"Zephyr Ring","0","CardTuningModifier","Range +1","","","","","","","Movement","","","","","","","","","","5556164077145046266","b200a37f711afa841b64a35bce00f201","Live",""
