"Prefab","Boss","Role","DisplayName","Health","ActionsPerTurn","Brain","Targeting","LootTable","DeckSize","Deck","BrandonsPowerLevel","EffectivePower","Notes","GUID"
"LightBandit","No","Backline","Light Bandit","12","2","Warrior","Weakest","","5","QuickCut|QuickCut|QuickCut|MoveInnate|MoveInnate","2","2","","df52b2ab92f38fd4eb6d6064e8197a56"
"Mimic","No","Frontline","Mimic","26","1","Warrior","Closest","","5","Chomp|Chomp|Chomp|MoveInnate|MoveInnate","2","2","","022c86b9aa20aaf44806e866dd6d8971"
"Mushroom","No","Frontline","Mushroom","13","1","Ranger","Closest","PoisonSkeleton","5","SporeCloud|SporeCloud|SporeCloud|MoveInnate|MoveInnate","2","2","","f04aa7787f30bab4a96433807a0f06a5"
"Pebble","No","Frontline","Pebble","6","1","Warrior","Closest","","5","Roll|Roll|Roll|MoveInnate|MoveInnate","2","2","","cffb630e9ce4c0f4798ae3e294d1d8e8"
"PlagueRat","No","Frontline","Plague Rat","11","2","Warrior","Weakest","PoisonSkeleton","5","PlagueBite|PlagueBite|PlagueBite|MoveInnate|MoveInnate","2","2","","37960ead296e23e4ca189530884917c3"
"Rat","No","Frontline","Rat","9","2","Warrior","Weakest","","5","Gnaw|Gnaw|Gnaw|MoveInnate|MoveInnate","2","2","","b9a57d66ac78e19468a62c235ce3e746"
"Skeleton","No","Frontline","Skeleton","16","1","Warrior","Closest","","5","BoneBulwark|BoneBulwark|BoneBulwark|MoveInnate|MoveInnate","2","2","","909b3cba860296d47997ee7846ec93f8"
"SkeletonWarrior","No","Frontline","Skeleton Warrior","25","1","Warrior","WarriorTargeting","EarlyGame","5","EnemySlash|MoveInnate|EnemySlash|EnemySlash|EnemySlash","1","1","","d1b7793de9d268945bdf70cf0af39a94"
"Skull","No","Backline","Skull","7","1","Warrior","Random","","5","BoneChill|BoneChill|BoneChill|MoveInnate|MoveInnate","2","2","","40cab8c86b3615741ac4bc8db8156b37"
"Slime","No","Frontline","Slime","20","1","Warrior","Closest","","5","Engulf|Engulf|Engulf|MoveInnate|MoveInnate","2","2","","7902e6bd6fe8b444eab36cf00a8771be"
"SpikedSlime","No","Frontline","Spiked Slime","16","1","Warrior","Closest","","5","SpikeBurst|SpikeBurst|SpikeBurst|MoveInnate|MoveInnate","2","2","","a759c0567adbde54f8e686c473b037cd"
"VampireBat","No","Backline","Vampire Bat","9","2","Warrior","Weakest","","5","LifeLeech|LifeLeech|LifeLeech|MoveInnate|MoveInnate","2","2","","e2566430033deb14c9d648e67fdf80e4"
